Date,Open,High,Low,Close
2020-03-02,1.28016,1.28507,1.27407,1.2754
2020-03-03,1.27539,1.28435,1.27539,1.28126
2020-03-04,1.28126,1.28726,1.27703,1.28668
2020-03-05,1.28677,1.29682,1.28609,1.29528
2020-03-06,1.29568,1.30493,1.29492,1.30348
2020-03-09,1.30891,1.31997,1.30354,1.30962
2020-03-10,1.30962,1.30982,1.28697,1.29048
2020-03-11,1.29048,1.29764,1.28043,1.28145
2020-03-12,1.28144,1.28494,1.2492,1.2577
2020-03-13,1.25777,1.26244,1.22679,1.2277
2020-03-16,1.24062,1.24191,1.22026,1.22678
2020-03-17,1.22686,1.22735,1.20035,1.20755
2020-03-18,1.20756,1.21297,1.14611,1.16418
2020-03-19,1.16418,1.17922,1.1412,1.14356
2020-03-20,1.14355,1.19323,1.14355,1.16496
2020-03-23,1.15462,1.17152,1.14475,1.15566
2020-03-24,1.15566,1.17996,1.15466,1.17893
2020-03-25,1.17893,1.19731,1.16409,1.18181
2020-03-26,1.18178,1.22292,1.17777,1.21592
2020-03-27,1.21587,1.24854,1.21475,1.24567
2020-03-30,1.24468,1.2467,1.23177,1.23824
2020-03-31,1.23821,1.24729,1.22526,1.24324
2020-04-01,1.24319,1.24386,1.23306,1.2392
2020-04-02,1.23923,1.24746,1.23502,1.24054
2020-04-03,1.24054,1.24071,1.22063,1.22606
2020-04-06,1.22265,1.23271,1.22101,1.22314
2020-04-07,1.22311,1.2384,1.21663,1.23374
2020-04-08,1.23377,1.24193,1.22884,1.23965
2020-04-09,1.23955,1.24835,1.23617,1.24504
2020-04-13,1.2466,1.25346,1.24538,1.2511
2020-04-14,1.25116,1.26474,1.2504,1.26258
2020-04-15,1.26258,1.26311,1.24392,1.25276
2020-04-16,1.25276,1.2528,1.24087,1.24828
2020-04-17,1.24828,1.25219,1.24071,1.24969
2020-04-20,1.25021,1.25021,1.24169,1.24416
2020-04-21,1.24417,1.24443,1.22483,1.22974
2020-04-22,1.22974,1.23857,1.22751,1.23267
2020-04-23,1.23267,1.24132,1.23082,1.2347
2020-04-24,1.23474,1.23769,1.2299,1.23645
2020-04-27,1.23681,1.24548,1.236,1.24273
2020-04-28,1.24274,1.25183,1.24042,1.24245
2020-04-29,1.24245,1.24855,1.23893,1.24716
2020-04-30,1.2471,1.2643,1.24293,1.25955
2020-05-01,1.25958,1.26009,1.24832,1.25096
2020-05-04,1.24843,1.24846,1.24055,1.24409
2020-05-05,1.2441,1.2483,1.24206,1.24423
2020-05-06,1.24422,1.24496,1.23352,1.23449
2020-05-07,1.23449,1.24156,1.22662,1.23621
2020-05-08,1.23651,1.24673,1.23563,1.24052
2020-05-11,1.24042,1.24375,1.22839,1.2335
2020-05-12,1.23355,1.23758,1.22557,1.22682
2020-05-13,1.22682,1.23342,1.22105,1.22346
2020-05-14,1.22345,1.22417,1.21658,1.22315
2020-05-15,1.22315,1.22375,1.21113,1.21171
